epoch,reward/trans_loss,reward/eval_cse_loss,reward/eval_trans_loss
0,25.0,0.7227458,0.7227458
1,0.69042313,0.69042313,35.6992073059082
2,0.6244571,0.6244571,0.025609254837036133
3,0.5982472,0.5982472,0.01788806915283203
4,0.58267546,0.58267546,0.0261077880859375
5,0.5735567,0.5735567,0.024593591690063477,0.5372837,0.5372837,5,0.5735567
6,0.5648286,0.5648286,0.018299579620361328
7,0.5576142,0.5576142,0.025180816650390625
8,0.55183494,0.55183494,0.025603532791137695
9,0.5464306,0.5464306,0.02548360824584961
10,0.54302895,0.54302895,0.02473759651184082,0.5183326,0.5183326,10,0.54302895
11,0.53864616,0.53864616,0.024765729904174805
12,0.53245765,0.53245765,0.017213106155395508
13,0.5311571,0.5311571,0.025571346282958984
14,0.52800554,0.52800554,0.025105714797973633
15,0.5267087,0.5267087,0.025310993194580078,0.49648008,0.49648008,15,0.5267087
16,0.52442753,0.52442753,0.02467036247253418
17,0.52127963,0.52127963,0.024747371673583984
18,0.5206011,0.5206011,0.016525983810424805
19,0.51696396,0.51696396,0.017714500427246094
20,0.5161903,0.5161903,0.025212764739990234,0.48616335,0.48616335,20,0.5161903
21,0.51090336,0.51090336,0.02634406089782715
22,0.50970626,0.50970626,0.026496171951293945
23,0.5089886,0.5089886,0.02552652359008789
24,0.50827926,0.50827926,0.017909765243530273
25,0.5033914,0.5033914,0.03157353401184082,0.47540352,0.47540352,25,0.5033914
26,0.5053244,0.5053244,0.024492979049682617
27,0.50124174,0.50124174,0.025597095489501953
28,0.5016389,0.5016389,0.025520801544189453
29,0.4960289,0.4960289,0.02539801597595215
30,0.4958881,0.4958881,0.025296688079833984,0.45280132,0.45280132,30,0.4958881
31,0.4964673,0.4964673,0.024966716766357422
32,0.49304414,0.49304414,0.02483534812927246
33,0.4920118,0.4920118,0.01913166046142578
34,0.49202138,0.49202138,0.025096416473388672
35,0.49005407,0.49005407,0.025475502014160156,0.44815361,0.44815361,35,0.49005407
36,0.49308777,0.49308777,0.01781320571899414
37,0.48577267,0.48577267,0.026012420654296875
38,0.48524773,0.48524773,0.02557992935180664
39,0.48669726,0.48669726,0.02449488639831543
40,0.48225728,0.48225728,0.02486252784729004,0.43445313,0.43445313,40,0.48225728
41,0.481447,0.481447,0.017707347869873047
42,0.48085916,0.48085916,0.026101112365722656
43,0.47795805,0.47795805,0.0252835750579834
44,0.4790192,0.4790192,0.025131940841674805
45,0.47610667,0.47610667,0.025806188583374023,0.4360376,0.4360376,45,0.47610667
46,0.47629917,0.47629917,0.017763137817382812
47,0.4740496,0.4740496,0.01810312271118164
48,0.47547436,0.47547436,0.025883197784423828
49,0.47270164,0.47270164,0.024948835372924805
50,0.47007495,0.47007495,0.025734424591064453,0.43184248,0.43184248,50,0.47007495
51,0.47082108,0.47082108,0.024808168411254883
52,0.4676115,0.4676115,0.026501178741455078
53,0.4685997,0.4685997,0.02588343620300293
54,0.4648643,0.4648643,0.024829626083374023
55,0.46304023,0.46304023,0.025233983993530273,0.41076922,0.41076922,55,0.46304023
56,0.45944524,0.45944524,0.030669689178466797
