epoch,reward/trans_loss,reward/eval_cse_loss,reward/eval_trans_loss
0,100.0,0.7203395,0.7203395
1,0.6842355,0.6842355,36.810542345047
2,0.60891545,0.60891545,0.11320853233337402
3,0.578223,0.578223,0.1142427921295166
4,0.56398374,0.56398374,0.11016297340393066
5,0.55594057,0.55594057,0.11519169807434082,0.51342773,0.51342773,5,0.55594057
6,0.54816127,0.54816127,0.11334824562072754
7,0.5403118,0.5403118,0.1157541275024414
8,0.53370064,0.53370064,0.11386585235595703
9,0.5283944,0.5283944,0.11236095428466797
10,0.52337444,0.52337444,0.11710882186889648,0.48680374,0.48680374,10,0.52337444
11,0.5194021,0.5194021,0.1138758659362793
12,0.51395017,0.51395017,0.10877275466918945
13,0.51295185,0.51295185,0.11952042579650879
14,0.5085997,0.5085997,0.11388921737670898
15,0.50776577,0.50776577,0.11880850791931152,0.47148764,0.47148764,15,0.50776577
16,0.50263816,0.50263816,0.11433172225952148
17,0.5014779,0.5014779,0.11266183853149414
18,0.49949586,0.49949586,0.11637520790100098
19,0.49558413,0.49558413,0.11699199676513672
20,0.49468875,0.49468875,0.11889219284057617,0.45935008,0.45935008,20,0.49468875
21,0.49307603,0.49307603,0.1115872859954834
22,0.49047244,0.49047244,0.11688756942749023
23,0.48580807,0.48580807,0.11230587959289551
24,0.48902857,0.48902857,0.10072469711303711
25,0.48304135,0.48304135,0.10885763168334961,0.44897148,0.44897148,25,0.48304135
26,0.48085287,0.48085287,0.11381411552429199
27,0.48069498,0.48069498,0.10824084281921387
28,0.47613657,0.47613657,0.11629533767700195
29,0.4770931,0.4770931,0.10738682746887207
30,0.4770363,0.4770363,0.11322569847106934,0.44127277,0.44127277,30,0.4770363
31,0.47345918,0.47345918,0.11144113540649414
32,0.47153234,0.47153234,0.11315226554870605
33,0.47255743,0.47255743,0.11302876472473145
34,0.46888006,0.46888006,0.10715794563293457
35,0.467368,0.467368,0.11352896690368652,0.4374832,0.4374832,35,0.467368
36,0.4647048,0.4647048,0.1136927604675293
37,0.4644463,0.4644463,0.11215448379516602
38,0.4630264,0.4630264,0.10689640045166016
39,0.45915982,0.45915982,0.10934996604919434
40,0.45809314,0.45809314,0.11361098289489746,0.43332517,0.43332517,40,0.45809314
41,0.46108124,0.46108124,0.1140749454498291
42,0.4570197,0.4570197,0.11371970176696777
