epoch,reward/lstm_loss,reward/eval_lstm_loss
0,100.0,3.1698208
1,3.0631394,39.00800037384033
2,0.9432429,0.022691011428833008
3,0.74368525,0.02217864990234375
4,0.6701174,0.0219879150390625
5,0.62259185,0.021999597549438477,0.57777953,5,0.62259185
6,0.6077741,0.02222585678100586
7,0.60562515,0.021993637084960938
8,0.59582883,0.022748708724975586
9,0.5796069,0.02343273162841797
10,0.5691716,0.023789167404174805,0.5600532,10,0.5691716
11,0.55836654,0.022904396057128906
12,0.554913,0.022608041763305664
13,0.54135257,0.022977352142333984
14,0.5416227,0.023051977157592773
15,0.5459195,0.022601842880249023,0.55162513,15,0.5459195
16,0.5435618,0.022661685943603516
17,0.5334053,0.022510528564453125
18,0.5334609,0.022814512252807617
19,0.526781,0.022583484649658203
20,0.5258391,0.02161383628845215,0.5196902,20,0.5258391
21,0.52619463,0.022933244705200195
22,0.5219675,0.023141860961914062
23,0.51176804,0.023323774337768555
24,0.5181111,0.023952484130859375
25,0.5173037,0.02369546890258789,0.49431404,25,0.5173037
26,0.51706046,0.02433490753173828
27,0.5176641,0.02277231216430664
28,0.50890756,0.028206586837768555
29,0.50946736,0.022810697555541992
30,0.50680476,0.02292037010192871,0.469272,30,0.50680476
31,0.50820905,0.024267196655273438
32,0.505759,0.024393796920776367
33,0.50237983,0.025509119033813477
34,0.49779335,0.028939247131347656
35,0.50047374,0.024797916412353516,0.4624053,35,0.50047374
36,0.49399167,0.022224903106689453
37,0.49765247,0.02364826202392578
38,0.49769205,0.023760318756103516
39,0.49422565,0.022347450256347656
40,0.48598018,0.022221803665161133,0.46903846,40,0.48598018
41,0.49246368,0.02523326873779297
42,0.49909997,0.020349979400634766
43,0.49138135,0.020851850509643555
44,0.48995814,0.021966218948364258
45,0.4911378,0.022663116455078125,0.4820795
46,0.49476165,0.02278590202331543
47,0.4854219,0.021772146224975586
48,0.4883213,0.022355079650878906
49,0.49158853,0.022109508514404297
50,0.48757213,0.02224588394165039,0.4763361
51,0.48787647,0.02206707000732422
52,0.489358,0.022607088088989258
53,0.4883673,0.021948575973510742
54,0.4860533,0.02248549461364746
55,0.49259704,0.023296833038330078,0.46641997
56,0.49193206,0.02316570281982422
57,0.48514444,0.022731304168701172
58,0.47604227,0.023180723190307617
59,0.48370558,0.023041725158691406
60,0.48060238,0.021960973739624023,0.44421485,60,0.48060238
61,0.4822854,0.022632837295532227
62,0.4776013,0.022262096405029297
63,0.47829658,0.02193760871887207
64,0.4738243,0.022073030471801758
65,0.47810808,0.021940946578979492,0.44583634,65,0.47810808
66,0.47632125,0.022447824478149414
67,0.47374797,0.021962642669677734
68,0.48347932,0.022014141082763672
69,0.475653,0.021897077560424805
70,0.46905065,0.021918773651123047,0.44653687,70,0.46905065
71,0.47593835,0.022191524505615234
72,0.4710467,0.021892786026000977
73,0.4701227,0.022551298141479492
74,0.47281557,0.023390769958496094
75,0.46904498,0.021877765655517578,0.46478143
76,0.47105134,0.022716760635375977
77,0.46669525,0.021847248077392578
78,0.47085923,0.021900415420532227
79,0.46428144,0.022249460220336914
80,0.46785396,0.02195906639099121,0.43847296,80,0.46785396
81,0.46495485,0.02224874496459961
82,0.4668731,0.024827241897583008
83,0.45935005,0.025216341018676758
84,0.4610002,0.022953510284423828
