epoch,reward/trans_loss,reward/eval_cse_loss,reward/eval_trans_loss
0,200.0,0.71844834,0.71844834
1,0.68135697,0.68135697,40.33154487609863
2,0.6024269,0.6024269,0.2602548599243164
3,0.56787103,0.56787103,0.2534036636352539
4,0.5508072,0.5508072,0.256131649017334
5,0.54139555,0.54139555,0.25411391258239746,0.50117135,0.50117135,5,0.54139555
6,0.5325422,0.5325422,0.25754714012145996
7,0.5241023,0.5241023,0.25998973846435547
8,0.5161032,0.5161032,0.25943970680236816
9,0.51096535,0.51096535,0.2559549808502197
10,0.50565773,0.50565773,0.2682631015777588,0.46248198,0.46248198,10,0.50565773
11,0.5005478,0.5005478,0.2679452896118164
12,0.49598765,0.49598765,0.268449068069458
13,0.49498183,0.49498183,0.2706732749938965
14,0.49098587,0.49098587,0.2733273506164551
15,0.4883631,0.4883631,0.2638278007507324,0.44762033,0.44762033,15,0.4883631
16,0.48697644,0.48697644,0.25595974922180176
17,0.48451108,0.48451108,0.25826430320739746
18,0.48355567,0.48355567,0.2588992118835449
19,0.48037475,0.48037475,0.2524425983428955
20,0.4782988,0.4782988,0.2552952766418457,0.43679178,0.43679178,20,0.4782988
21,0.4763581,0.4763581,0.25523805618286133
22,0.47332972,0.47332972,0.25518202781677246
23,0.47335917,0.47335917,0.2593972682952881
24,0.4728937,0.4728937,0.2591831684112549
25,0.46939147,0.46939147,0.271869421005249,0.4230362,0.4230362,25,0.46939147
26,0.46605054,0.46605054,0.260087251663208
27,0.4658244,0.4658244,0.25266385078430176
28,0.46399617,0.46399617,0.2519509792327881
29,0.4647883,0.4647883,0.2561936378479004
30,0.4590289,0.4590289,0.25771570205688477,0.40917754,0.40917754,30,0.4590289
31,0.45927846,0.45927846,0.2499830722808838
32,0.45735145,0.45735145,0.25586962699890137
33,0.45804363,0.45804363,0.2530512809753418
34,0.45422828,0.45422828,0.2524855136871338
35,0.4556006,0.4556006,0.25828075408935547,0.4058296,0.4058296,35,0.4556006
36,0.45174074,0.45174074,0.25664687156677246
37,0.4488263,0.4488263,0.2522885799407959
38,0.44767258,0.44767258,0.25374650955200195
39,0.44688225,0.44688225,0.25693202018737793
40,0.4450284,0.4450284,0.2489025592803955,0.39281252,0.39281252,40,0.4450284
41,0.4463426,0.4463426,0.25277161598205566
42,0.44346425,0.44346425,0.25263094902038574
43,0.4417689,0.4417689,0.25365281105041504
44,0.4472075,0.4472075,0.2797219753265381
45,0.44392377,0.44392377,0.2711753845214844,0.38960996,0.38960996,45,0.44392377
46,0.44212723,0.44212723,0.2717909812927246
47,0.4381662,0.4381662,0.27451539039611816
48,0.43610775,0.43610775,0.26804232597351074
49,0.4366041,0.4366041,0.25148725509643555
50,0.43300384,0.43300384,0.27313852310180664,0.38262168,0.38262168,50,0.43300384
51,0.43095756,0.43095756,0.25067591667175293
52,0.43423086,0.43423086,0.25678205490112305
53,0.43403083,0.43403083,0.2818143367767334
54,0.43400663,0.43400663,0.2717099189758301
55,0.433504,0.433504,0.2572202682495117,0.37651697,0.37651697
56,0.42925552,0.42925552,0.27143383026123047
57,0.42829686,0.42829686,0.2564525604248047
58,0.42582357,0.42582357,0.27552127838134766
59,0.4228499,0.4228499,0.2548980712890625
60,0.42578822,0.42578822,0.24904799461364746,0.37593135,0.37593135,60,0.42578822
61,0.4200061,0.4200061,0.25586462020874023
62,0.42206216,0.42206216,0.25946664810180664
63,0.4212693,0.4212693,0.2608308792114258
64,0.41894716,0.41894716,0.25913071632385254
65,0.41969854,0.41969854,0.25727057456970215,0.3664457,0.3664457,65,0.41969854
66,0.41668877,0.41668877,0.255159854888916
67,0.41938183,0.41938183,0.257049560546875
68,0.42056122,0.42056122,0.2561638355255127
69,0.41541052,0.41541052,0.25721073150634766
70,0.42048392,0.42048392,0.2582216262817383,0.3756803,0.3756803
71,0.4154059,0.4154059,0.2619130611419678
72,0.41367626,0.41367626,0.26040196418762207
73,0.41224366,0.41224366,0.258575439453125
74,0.4127629,0.4127629,0.2534220218658447
75,0.41022846,0.41022846,0.25811290740966797,0.3596337,0.3596337,75,0.41022846
76,0.41005233,0.41005233,0.25545263290405273
77,0.40767148,0.40767148,0.27207279205322266
78,0.4153837,0.4153837,0.275315523147583
79,0.4111599,0.4111599,0.2713487148284912
80,0.40806234,0.40806234,0.27066516876220703,0.36506668,0.36506668,80,0.40806234
81,0.4055965,0.4055965,0.2565758228302002
82,0.40830308,0.40830308,0.2552149295806885
83,0.4093669,0.4093669,0.2854478359222412
84,0.4064257,0.4064257,0.2746245861053467
85,0.40424594,0.40424594,0.2638394832611084,0.35234573,0.35234573,85,0.40424594
86,0.40361702,0.40361702,0.2575497627258301
87,0.39995167,0.39995167,0.2574770450592041
88,0.39851046,0.39851046,0.2527472972869873
89,0.4054528,0.4054528,0.25641632080078125
90,0.39937282,0.39937282,0.25742125511169434,0.3660008,0.3660008,90,0.39937282
91,0.39887285,0.39887285,0.24541115760803223
92,0.40273386,0.40273386,0.25457191467285156
93,0.39957076,0.39957076,0.25583672523498535
94,0.3975179,0.3975179,0.2568221092224121
95,0.39932424,0.39932424,0.2544989585876465,0.3571849,0.3571849
96,0.39537376,0.39537376,0.2601170539855957
97,0.39438403,0.39438403,0.26437807083129883
98,0.39417076,0.39417076,0.25524330139160156
99,0.39206135,0.39206135,0.24746179580688477
100,0.3921018,0.3921018,0.2571570873260498,0.34671047,0.34671047,100,0.3921018
101,0.3908209,0.3908209,0.25530266761779785
102,0.39309093,0.39309093,0.2567284107208252
103,0.39268243,0.39268243,0.2522461414337158
104,0.39203268,0.39203268,0.2558622360229492
105,0.38911614,0.38911614,0.25803637504577637,0.35260126,0.35260126,105,0.38911614
106,0.38768616,0.38768616,0.25046682357788086
107,0.38709933,0.38709933,0.2718513011932373
108,0.38485447,0.38485447,0.2591123580932617
109,0.38768327,0.38768327,0.25675106048583984
110,0.38808948,0.38808948,0.27173900604248047,0.35370177,0.35370177,110,0.38808948
111,0.38627076,0.38627076,0.2611262798309326
112,0.38387108,0.38387108,0.25937962532043457
113,0.38551056,0.38551056,0.2584350109100342
114,0.38237685,0.38237685,0.2714552879333496
115,0.38342413,0.38342413,0.2509324550628662,0.34982628,0.34982628,115,0.38342413
116,0.37892625,0.37892625,0.25984644889831543
117,0.38411328,0.38411328,0.25760960578918457
118,0.38539505,0.38539505,0.2705395221710205
119,0.38220546,0.38220546,0.25815534591674805
120,0.3845045,0.3845045,0.27256083488464355,0.35473004,0.35473004
121,0.38107818,0.38107818,0.2597658634185791
122,0.38342786,0.38342786,0.26024794578552246
123,0.38082653,0.38082653,0.2567141056060791
124,0.38281474,0.38281474,0.2552368640899658
125,0.37693927,0.37693927,0.25808167457580566,0.3452629,0.3452629,125,0.37693927
126,0.37765193,0.37765193,0.254880428314209
127,0.37913018,0.37913018,0.2592287063598633
128,0.3779673,0.3779673,0.25228118896484375
129,0.37729013,0.37729013,0.25695013999938965
130,0.38333067,0.38333067,0.26363635063171387,0.33986488,0.33986488
131,0.38214597,0.38214597,0.26166272163391113
132,0.3790487,0.3790487,0.2599518299102783
133,0.3800033,0.3800033,0.2569551467895508
134,0.3791364,0.3791364,0.26213669776916504
135,0.3782578,0.3782578,0.2717456817626953,0.34140727,0.34140727
136,0.3774644,0.3774644,0.27228784561157227
137,0.37505972,0.37505972,0.26281118392944336
138,0.3765489,0.3765489,0.26293492317199707
139,0.37685406,0.37685406,0.2635343074798584
140,0.37660342,0.37660342,0.26898837089538574,0.33996993,0.33996993
141,0.37845954,0.37845954,0.27539753913879395
142,0.37600604,0.37600604,0.26890015602111816
143,0.37410304,0.37410304,0.26960253715515137
144,0.37464613,0.37464613,0.2659590244293213
145,0.37724248,0.37724248,0.27292490005493164,0.36000448,0.36000448
146,0.3763662,0.3763662,0.27158641815185547
147,0.37251505,0.37251505,0.267486572265625
148,0.37313643,0.37313643,0.25189733505249023
149,0.36827922,0.36827922,0.2570912837982178
150,0.37025622,0.37025622,0.25226926803588867,0.33710268,0.33710268,150,0.37025622
151,0.36907244,0.36907244,0.2504422664642334
152,0.37053967,0.37053967,0.25753259658813477
153,0.36952037,0.36952037,0.25931262969970703
154,0.36925158,0.36925158,0.2531723976135254
155,0.36756998,0.36756998,0.2550952434539795,0.34670645,0.34670645,155,0.36756998
156,0.3735818,0.3735818,0.25702619552612305
157,0.36996564,0.36996564,0.2584052085876465
158,0.37301257,0.37301257,0.2574279308319092
159,0.37372607,0.37372607,0.2592790126800537
160,0.37091213,0.37091213,0.25424718856811523,0.3335159,0.3335159
161,0.37013614,0.37013614,0.255601167678833
162,0.3681736,0.3681736,0.2509157657623291
163,0.36833683,0.36833683,0.25257420539855957
164,0.36728573,0.36728573,0.2523314952850342
165,0.36613166,0.36613166,0.2590453624725342,0.32374334,0.32374334,165,0.36613166
166,0.3707391,0.3707391,0.25337767601013184
167,0.36613363,0.36613363,0.253187894821167
168,0.3643652,0.3643652,0.25894975662231445
169,0.36721137,0.36721137,0.25737667083740234
170,0.368259,0.368259,0.2586026191711426,0.3249871,0.3249871
171,0.37237078,0.37237078,0.2585742473602295
172,0.37026975,0.37026975,0.2549448013305664
173,0.36975718,0.36975718,0.24945521354675293
174,0.366948,0.366948,0.254779577255249
175,0.3643545,0.3643545,0.26375699043273926,0.32954407,0.32954407,175,0.3643545
176,0.3658922,0.3658922,0.24582171440124512
177,0.36167622,0.36167622,0.2606067657470703
178,0.3646233,0.3646233,0.25250816345214844
179,0.36371928,0.36371928,0.2583746910095215
180,0.36465392,0.36465392,0.26003336906433105,0.33205193,0.33205193
181,0.36593357,0.36593357,0.2546534538269043
182,0.36743662,0.36743662,0.2591109275817871
183,0.3663215,0.3663215,0.26033663749694824
184,0.36837372,0.36837372,0.2516958713531494
185,0.36587733,0.36587733,0.2593710422515869,0.33008283,0.33008283
186,0.36683378,0.36683378,0.2640566825866699
187,0.3632989,0.3632989,0.2577993869781494
188,0.36295453,0.36295453,0.26418232917785645
189,0.362786,0.362786,0.2567765712738037
190,0.36219805,0.36219805,0.25105738639831543,0.32566145,0.32566145,190,0.36219805
191,0.36178243,0.36178243,0.25431156158447266
192,0.36179447,0.36179447,0.2530388832092285
193,0.3625028,0.3625028,0.25594162940979004
194,0.36621773,0.36621773,0.2628910541534424
