model,budget,score_mean,score_std,score_min,score_max,return_mean,return_std,n
mr,333,10.0,13.228756555322953,0.0,25.0,0.09999999999999999,0.13228756555322954,3
nmr,333,1.6666666666666667,2.8867513459481287,0.0,5.0,0.016666666666666666,0.02886751345948129,3
pt,333,8.333333333333334,10.408329997330664,0.0,20.0,0.08333333333333333,0.10408329997330665,3
mr,666,8.333333333333334,10.408329997330664,0.0,20.0,0.08333333333333333,0.10408329997330665,3
nmr,666,8.333333333333334,2.886751345948129,5.0,10.0,0.08333333333333333,0.02886751345948129,3
pt,666,6.666666666666667,2.886751345948129,5.0,10.0,0.06666666666666667,0.028867513459481294,3
mr,1000,10.0,8.660254037844387,5.0,20.0,0.10000000000000002,0.08660254037844387,3
nmr,1000,8.333333333333334,10.408329997330664,0.0,20.0,0.08333333333333333,0.10408329997330665,3
pt,1000,15.0,5.0,10.0,20.0,0.15,0.05,3
