budget,eval_return,final_pi_loss,final_q_loss,final_v_loss,human_budget_split,human_label_0_first,human_label_1_second,human_label_neg1_tie,human_query_len,human_total_labels,i1_file,i2_file,label_file,label_mean,label_source,model,normalized_score,pred_cal_mean,pred_cal_std,pred_raw_mean,pred_raw_std,pref_train_acc,setting,tie_frac,source_run,seed
666,0.1,-32.21973419189453,0.8016191124916077,0.0854943469166755,nested_shuffle,158,179,329,100,1000,indices_num1000,indices_2_num1000,label_human,0.4842342436313629,human,nmr,10.0,0.2836141586303711,0.2687642872333526,0.1521644592285156,0.1614079922437667,1.0,nmr_budget666,0.493993993993994,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed1_nmr_budget666_gpu1,1
666,0.05,-24.180011749267575,0.7139997482299805,0.0657560750842094,nested_shuffle,158,179,329,100,1000,indices_num1000,indices_2_num1000,label_human,0.4842342436313629,human,pt,5.0,0.1565896719694137,0.3353918194770813,-4.646111488342285,4.522773742675781,1.0,pt_budget666,0.493993993993994,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed1_pt_budget666_gpu0,1
1000,0.05,-20.39181900024414,0.5645236372947693,0.0529904477298259,nested_shuffle,243,269,488,100,1000,indices_num1000,indices_2_num1000,label_human,0.4869999885559082,human,mr,5.0,0.4381079375743866,0.251819908618927,-0.0337908305227756,0.1331584006547927,1.0,mr_budget1000,0.488,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed1_mr_budget1000_gpu1,1
1000,0.2,-30.393943786621094,0.8183286190032959,0.0731587037444114,nested_shuffle,243,269,488,100,1000,indices_num1000,indices_2_num1000,label_human,0.4869999885559082,human,nmr,20.0,0.3605550527572632,0.261504203081131,0.0779453516006469,0.1144893541932106,1.0,nmr_budget1000,0.488,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed1_nmr_budget1000_gpu1,1
1000,0.1,-29.43107414245605,0.7866333723068237,0.0792422816157341,nested_shuffle,243,269,488,100,1000,indices_num1000,indices_2_num1000,label_human,0.4869999885559082,human,pt,10.0,0.2072494626045227,0.3740491867065429,-3.7560222148895264,4.990848064422607,1.0,pt_budget1000,0.488,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed1_pt_budget1000_gpu0,1
333,0.05,-23.093847274780277,0.6749008297920227,0.0562583059072494,nested_shuffle,77,81,175,100,1000,indices_num1000,indices_2_num1000,label_human,0.4939939975738525,human,mr,5.0,0.413877785205841,0.2548243105411529,0.0301243606954813,0.1093318909406662,1.0,mr_budget333,0.5255255255255256,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_mr_budget333_gpu1,2
333,0.0,-26.05462646484375,0.6844372153282166,0.0611060857772827,nested_shuffle,77,81,175,100,1000,indices_num1000,indices_2_num1000,label_human,0.4939939975738525,human,nmr,0.0,0.3667552471160888,0.2624608874320984,0.0718335658311843,0.1024216786026954,1.0,nmr_budget333,0.5255255255255256,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_nmr_budget333_gpu1,2
333,0.05,-18.32512664794922,0.6273972988128662,0.0538183115422725,nested_shuffle,77,81,175,100,1000,indices_num1000,indices_2_num1000,label_human,0.4939939975738525,human,pt,5.0,0.0814163014292717,0.2443107962608337,-5.43211030960083,2.7288732528686523,1.0,pt_budget333,0.5255255255255256,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_pt_budget333_gpu0,2
666,0.2,-19.02978134155273,0.60234534740448,0.0503935366868972,nested_shuffle,158,179,329,100,1000,indices_num1000,indices_2_num1000,label_human,0.4842342436313629,human,mr,20.0,0.4305490851402282,0.2513109445571899,0.0250699259340763,0.1333910822868347,1.0,mr_budget666,0.493993993993994,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_mr_budget666_gpu1,2
666,0.05,-29.6825008392334,0.6702864170074463,0.0633401200175285,nested_shuffle,158,179,329,100,1000,indices_num1000,indices_2_num1000,label_human,0.4842342436313629,human,nmr,5.0,0.3186593949794769,0.2584912478923797,0.0571382008492946,0.1264383196830749,1.0,nmr_budget666,0.493993993993994,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_nmr_budget666_gpu1,2
666,0.05,-25.97655868530273,0.8626105189323425,0.079570859670639,nested_shuffle,158,179,329,100,1000,indices_num1000,indices_2_num1000,label_human,0.4842342436313629,human,pt,5.0,0.1839369982481002,0.3521566689014435,-4.4726433753967285,4.687476634979248,1.0,pt_budget666,0.493993993993994,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_pt_budget666_gpu0,2
1000,0.05,-24.988739013671875,0.6237430572509766,0.0446656979620456,nested_shuffle,243,269,488,100,1000,indices_num1000,indices_2_num1000,label_human,0.4869999885559082,human,mr,5.0,0.4371054172515869,0.2498322576284408,-0.0284333787858486,0.1283348649740219,1.0,mr_budget1000,0.488,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_mr_budget1000_gpu1,2
1000,0.05,-27.857887268066406,0.682220458984375,0.0644517093896865,nested_shuffle,243,269,488,100,1000,indices_num1000,indices_2_num1000,label_human,0.4869999885559082,human,nmr,5.0,0.3578948080539703,0.2551174759864807,0.0826820656657219,0.1187111139297485,1.0,nmr_budget1000,0.488,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_nmr_budget1000_gpu1,2
1000,0.2,-26.053333282470703,0.6682037115097046,0.0716303288936615,nested_shuffle,243,269,488,100,1000,indices_num1000,indices_2_num1000,label_human,0.4869999885559082,human,pt,20.0,0.116036057472229,0.2757740318775177,-4.204102993011475,3.4543275833129883,1.0,pt_budget1000,0.488,human_eval20_3seed_mr_nmr_pt_20260613_200047_seed2_pt_budget1000_gpu0,2
