condition,episode,file,length,raw_return,normalized_return,success,done,goal,start_xy,end_xy
q100,0,/home/jhpark2/workspace/PreferenceTransformer/logs/iql_policy_rollouts/antmaze-medium-play-v2/PrefTransformer/q100/s42/episode_0.npz,362,1.0,100.0,100.0,True,"[20.559965133666992, 21.018009185791016]","[-0.09771323204040527, -0.05432368814945221]","[20.765159606933594, 20.58736801147461]"
q100,1,/home/jhpark2/workspace/PreferenceTransformer/logs/iql_policy_rollouts/antmaze-medium-play-v2/PrefTransformer/q100/s42/episode_1.npz,1000,0.0,0.0,0.0,True,"[20.36728858947754, 20.976640701293945]","[0.04660169407725334, -0.08515685796737671]","[20.828563690185547, 19.215993881225586]"
q100,2,/home/jhpark2/workspace/PreferenceTransformer/logs/iql_policy_rollouts/antmaze-medium-play-v2/PrefTransformer/q100/s42/episode_2.npz,479,1.0,100.0,100.0,True,"[20.572309494018555, 20.86972427368164]","[0.020881416276097298, -0.08051580935716629]","[20.648963928222656, 20.48175621032715]"
q100,3,/home/jhpark2/workspace/PreferenceTransformer/logs/iql_policy_rollouts/antmaze-medium-play-v2/PrefTransformer/q100/s42/episode_3.npz,359,1.0,100.0,100.0,True,"[21.067272186279297, 20.03543472290039]","[-0.036053333431482315, 0.04557766020298004]","[20.71788215637207, 19.803617477416992]"
q100,4,/home/jhpark2/workspace/PreferenceTransformer/logs/iql_policy_rollouts/antmaze-medium-play-v2/PrefTransformer/q100/s42/episode_4.npz,583,1.0,100.0,100.0,True,"[20.763811111450195, 21.076032638549805]","[-0.09973853826522827, -0.03514617681503296]","[20.56218719482422, 20.734880447387695]"
