epoch,reward/rf_loss,reward/eval_rf_loss
0,100.0,0.71256316
1,0.691589,8.320692777633667
2,0.6570598,0.0074307918548583984
3,0.641162,0.007218599319458008
4,0.63171303,0.007673978805541992
5,0.6267501,0.0073583126068115234,0.6074295,5,0.6267501
6,0.62152374,0.007656097412109375
7,0.6145542,0.00717473030090332
8,0.60704076,0.007149696350097656
9,0.59920126,0.007788419723510742
10,0.5913634,0.007256031036376953,0.5719908,10,0.5913634
11,0.58404803,0.0069675445556640625
12,0.5754558,0.007729053497314453
13,0.56875604,0.0073969364166259766
14,0.5621393,0.00709223747253418
15,0.55636775,0.007686138153076172,0.541005,15,0.55636775
16,0.5514482,0.006868839263916016
17,0.54775155,0.006988048553466797
18,0.5438367,0.00709223747253418
19,0.54122055,0.00728607177734375
20,0.5377185,0.007013559341430664,0.5250639,20,0.5377185
21,0.5352255,0.0074138641357421875
22,0.5333837,0.007318735122680664
23,0.5301383,0.007490634918212891
24,0.529039,0.007306098937988281
25,0.5256238,0.007308006286621094,0.5161181,25,0.5256238
26,0.52384794,0.007195711135864258
27,0.5218759,0.0069730281829833984
28,0.5192248,0.00732111930847168
29,0.51759315,0.00716710090637207
30,0.51626945,0.006867170333862305,0.50420666,30,0.51626945
31,0.51432043,0.0069332122802734375
32,0.51246727,0.0071108341217041016
33,0.5118485,0.006936550140380859
34,0.5095253,0.0070340633392333984
35,0.50856453,0.007490873336791992,0.493019,35,0.50856453
36,0.5069262,0.007673025131225586
37,0.5057224,0.006903648376464844
38,0.5031319,0.006921529769897461
39,0.5023353,0.006916999816894531
40,0.5008798,0.007440805435180664,0.48608398,40,0.5008798
41,0.50094545,0.007350444793701172
42,0.4990404,0.0075359344482421875
43,0.49853557,0.007352352142333984
44,0.49700153,0.006830930709838867
45,0.49815178,0.006853818893432617,0.48093033,45,0.49815178
46,0.49498844,0.007028341293334961
47,0.49463424,0.0070917606353759766
48,0.49290705,0.007834434509277344
49,0.4929442,0.0072154998779296875
50,0.4921533,0.007643222808837891,0.47762877,50,0.4921533
51,0.49092335,0.007263660430908203
52,0.48868117,0.007021665573120117
53,0.48961425,0.0069959163665771484
54,0.48848754,0.006900310516357422
55,0.48785162,0.0070497989654541016,0.4699374,55,0.48785162
56,0.48695403,0.006937503814697266
57,0.485955,0.007288694381713867
58,0.48500913,0.006959676742553711
59,0.48466468,0.006939888000488281
60,0.48463365,0.0068988800048828125,0.46790045,60,0.48463365
61,0.48269916,0.007180213928222656
62,0.48333567,0.008251667022705078
63,0.4821482,0.007399082183837891
64,0.4819799,0.007767438888549805
65,0.48196322,0.007195711135864258,0.46524477,65,0.48196322
66,0.4805408,0.0070400238037109375
67,0.480412,0.006981849670410156
68,0.48041928,0.006982088088989258
69,0.47966385,0.006911754608154297
70,0.4788933,0.00726771354675293,0.46371862,70,0.4788933
71,0.4790664,0.006952762603759766
72,0.47810754,0.006922006607055664
73,0.47904623,0.0067942142486572266
74,0.47721016,0.0069615840911865234
75,0.47708338,0.007302522659301758,0.46256813,75,0.47708338
76,0.47643897,0.007118701934814453
77,0.47661588,0.007580757141113281
78,0.4740367,0.007498025894165039
79,0.47427627,0.007059335708618164
80,0.47307912,0.007349252700805664,0.46024513,80,0.47307912
81,0.4724548,0.0073659420013427734
82,0.47311613,0.0069293975830078125
83,0.47194028,0.0069310665130615234
84,0.47212625,0.006804227828979492
85,0.47072005,0.006882905960083008,0.45478415,85,0.47072005
86,0.47124404,0.00726628303527832
87,0.47042596,0.007671356201171875
88,0.46981767,0.00737309455871582
89,0.47044545,0.007199764251708984
90,0.46820208,0.007093906402587891,0.4535664,90,0.46820208
91,0.46879888,0.007261991500854492
92,0.46968436,0.007655620574951172
93,0.46965227,0.0070645809173583984
94,0.46879193,0.006883144378662109
